year,newprice,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,peek5,peek6,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
1997,2.224623551524334,5.327999999999999,4.148,5.846,3.346,6.409,3.6069999999999998,6.477,4.97,5.478,6.047000000000001,6.102,5.025,6.406000000000001,3.647,6.3389999999999995,3.383,5.782,4.205,5.269,4.428999999999999,4.322
1997,2.200552367428894,4.37,3.346,5.327999999999999,3.6069999999999998,5.846,4.97,6.409,5.478,6.047000000000001,6.102,6.406000000000001,5.539,6.3389999999999995,5.025,5.782,3.647,5.269,3.383,4.322,4.205,4.103
1998,2.1826747963214883,4.148,3.6069999999999998,4.37,4.97,5.327999999999999,5.478,5.846,6.047000000000001,6.102,6.406000000000001,6.3389999999999995,6.114,5.782,5.539,5.269,5.025,4.322,3.647,4.103,3.383,3.27
1998,2.1938856760707046,3.346,4.97,4.148,5.478,4.37,6.047000000000001,5.327999999999999,6.102,6.406000000000001,6.3389999999999995,5.782,6.169,5.269,6.114,4.322,5.539,4.103,5.025,3.27,3.647,3.525
1998,2.1983350716202463,3.6069999999999998,5.478,3.346,6.047000000000001,4.148,6.102,4.37,6.406000000000001,6.3389999999999995,5.782,5.269,6.477,4.322,6.169,4.103,6.114,3.27,5.539,3.525,5.025,4.856
1998,2.222459048514761,4.97,6.047000000000001,3.6069999999999998,6.102,3.346,6.406000000000001,4.148,6.3389999999999995,5.782,5.269,4.322,6.409,4.103,6.477,3.27,6.169,3.525,6.114,4.856,5.539,5.353
1998,2.2502386126218363,5.478,6.102,4.97,6.406000000000001,3.6069999999999998,6.3389999999999995,3.346,5.782,5.269,4.322,4.103,5.846,3.27,6.409,3.525,6.477,4.856,6.169,5.353,6.114,5.909
1998,2.254444717666111,6.047000000000001,6.406000000000001,5.478,6.3389999999999995,4.97,5.782,3.6069999999999998,5.269,4.322,4.103,3.27,5.327999999999999,3.525,5.846,4.856,6.409,5.353,6.477,5.909,6.169,5.962000000000001
1998,2.259677591982769,6.102,6.3389999999999995,6.047000000000001,5.782,5.478,5.269,4.97,4.322,4.103,3.27,3.525,4.37,4.856,5.327999999999999,5.353,5.846,5.909,6.409,5.962000000000001,6.477,6.2589999999999995
1998,2.258633205464863,6.406000000000001,5.782,6.102,5.269,6.047000000000001,4.322,5.478,4.103,3.27,3.525,4.856,4.148,5.353,4.37,5.909,5.327999999999999,5.962000000000001,5.846,6.2589999999999995,6.409,6.194
1998,2.2438960966453663,6.3389999999999995,5.269,6.406000000000001,4.322,6.102,4.103,6.047000000000001,3.27,3.525,4.856,5.353,3.346,5.909,4.148,5.962000000000001,4.37,6.2589999999999995,5.327999999999999,6.194,5.846,5.649
